;;Parameter;Unit;Year;1;2;3;4;5;6;7;8;9;10;11;12
"Station No: 01-11-00-001; Station Name: MERIC NEHRI-KAPIKULE";;;;;;;;;;;;;;;;
;Al;;;;;;;;;;;;;;;
;;Al;µg/L;2013;;;;168.25;;156.87;;;;161.21;;
;As;;;;;;;;;;;;;;;
;;As;µg/L;1987;;;;4;;1;;;;6;;
;;As;µg/L;1992;;;32;;;;;;;;;
;;As;µg/L;1994;;;;;;9;;;;;;
;;As;µg/L;2013;;3.49;;1.17;;52.2;;;;2.74;;
;BOD5;;;;;;;;;;;;;;;
;;BOD5;mg/L;1985;;;;5.1;;6.1;;7.2;;7.7;;7.3
;;BOD5;mg/L;1986;;;6.5;7;;4.9;;3.6;;6.8;;9.7
;;BOD5;mg/L;1987;;9.2;;3.8;;4.2;;;;3.8;;9.6
;;BOD5;mg/L;1988;;9.3;;2.7;;5.7;;7;;2.1;;6.7
;;BOD5;mg/L;1989;;5;;3.6;;6;;6.7;;4.5;;8
;;BOD5;mg/L;1990;;3.8;;5.4;;6.6;;6.7;;2.2;;6.8
;;BOD5;mg/L;1991;;5.4;;3.2;;1.5;;3.3;;1.7;;3.8
;;BOD5;mg/L;1992;;4.6;;2.6;;1.8;;7.7;;2.1;;4.1
;;BOD5;mg/L;1993;;4;;2.4;;5.7;;4.3;;0.6;;2.2
;;BOD5;mg/L;1994;5.1;1.6;2.4;3.7;7.8;7.8;10.5;7;1.2;2.2;3.5;3.1
;;BOD5;mg/L;1995;;3.5;;3.6;;1.8;;6;;3.4;;2.5
;;BOD5;mg/L;1996;;;;2.6;;5;;4.4;;1.3;;1.8
;;BOD5;mg/L;1997;;6.4;;2.5;;2.3;;3.8;;1.5;;2.3
;;BOD5;mg/L;1998;;;;1;;1.6;;7.9;;1.2;;
;;BOD5;mg/L;1999;;2.7;;2.1;;2.2;;6;;1.3;;2
;;BOD5;mg/L;2000;;2.9;;1.9;;3.3;;6.3;;1.8;;2.1
;;BOD5;mg/L;2001;;2;;2.6;;6.2;;7.3;;1.1;;
;;BOD5;mg/L;2002;;1.1;;1.8;;4.5;;2.5;;1.4;;
;;BOD5;mg/L;2003;;2.6;;2.2;;4;;2.9;;1.3;;2.2
;;BOD5;mg/L;2004;;1.6;;1.4;;0.4;;0.9;;2;;7
;;BOD5;mg/L;2005;;0;;2;;9;;2;2;;;2
;;BOD5;mg/L;2006;;0;;1;;6;;6;;1;;
;;BOD5;mg/L;2007;;3;;23;;6;;7;;;;
;;BOD5;mg/L;2008;;4;;3;;12;;11;;4;;3
;;BOD5;mg/L;2009;;3;;8;;11;;;;;;
;;BOD5;mg/L;2010;;5;;2;;6;;5;;2;;2
;;BOD5;mg/L;2011;;10;;3;;0;;;;;;
;;BOD5;mg/L;2012;;6;;3;;;;8;;0;;6
;;BOD5;mg/L;2013;;4;;3;;6;;3;;4;;
;Ca++;;;;;;;;;;;;;;;
;;Ca++;mg/L;1985;;;;76;;112;;110;;90;;100
;;Ca++;mg/L;1986;;;68;82;;62;;108;;100;;86
;;Ca++;mg/L;1987;;66;;62;;80;;;;94;;84
;;Ca++;mg/L;1988;;98;;52;;64;;94;;88;;96
;;Ca++;mg/L;1989;;92;;74;;84;;82;;80;;72
;;Ca++;mg/L;1990;;72;;60;;102;;130;;104;;78
;;Ca++;mg/L;1991;;100;;50;;50;;86;;70;;62
;;Ca++;mg/L;1992;;102;;72;;46;;70;;88;;96
;;Ca++;mg/L;1993;;86;;78;;80;;100;;94;;92
;;Ca++;mg/L;1994;102;86;98;96;116;90;66;78;112;76;86;106
;;Ca++;mg/L;1995;;74;;52;;58;;86;;92;;58
;;Ca++;mg/L;1996;;;;50;;76;;76;;74;;72
;;Ca++;mg/L;1997;;88;;56;;68;;78;;92;;84
;;Ca++;mg/L;1998;;;;50;;58;;64;;72;;
;;Ca++;mg/L;1999;;62;;62;;78;;70;;70;;52
;;Ca++;mg/L;2000;;58;;62;;66;;82;;78;;76
;;Ca++;mg/L;2001;;68;;82;;92;;42;;78;;
;;Ca++;mg/L;2002;;82;;72;;86;;64;;52;;
;;Ca++;mg/L;2003;;58;;38;;70;;72;;70;;64
;;Ca++;mg/L;2004;;60;;54;;42;;64;;68;;52
;;Ca++;mg/L;2005;;34;;44;;38;;46;62;;;56
;;Ca++;mg/L;2006;;58;;48;;42;;52;;72;;
;;Ca++;mg/L;2007;;76;;64;;50;;52;;;;
;;Ca++;mg/L;2008;;70;;44;;50;;66;;76;;72
;;Ca++;mg/L;2009;;54;;46;;52;;;;;;
;;Ca++;mg/L;2010;;44;;50;;48;;68;;64;;56
;;Ca++;mg/L;2011;;72;;90;;86;;;;;;
;;Ca++;mg/L;2012;;1.48;;61.6;;;;74.8;;84;;67.6
;;Ca++;mg/L;2013;;29.11;;40.28;;65.58;;60.52;;78.6;;
;Cd;;;;;;;;;;;;;;;
;;Cd;µg/L;2013;;0.14;;0.02;;0;;;;0.04;;
;Cl-;;;;;;;;;;;;;;;
;;Cl-;mg/lt;1985;;;;24.5;;41.1;;58.7;;43;;35.2
;;Cl-;mg/lt;1986;;;26.4;28.4;;19.6;;33.3;;34;;34
;;Cl-;mg/lt;1987;;26;;26;;38;;;;34.9;;31.1
;;Cl-;mg/lt;1988;;38.9;;17.5;;28.9;;48.2;;38.6;;38.6
;;Cl-;mg/lt;1989;;44.4;;32;;36;;40;;32;;32
;;Cl-;mg/lt;1990;;31.1;;31.1;;42.5;;70.9;;41.1;;34
;;Cl-;mg/lt;1991;;42.5;;19.1;;18.4;;28.4;;29.8;;26.9
;;Cl-;mg/lt;1992;;32.6;;17.7;;17;;34.03;;29.8;;29.8
;;Cl-;mg/lt;1993;;28.4;;29.8;;34;;45.4;;35.5;;34
;;Cl-;mg/lt;1994;35.5;36.9;36.9;34;36.9;42.5;38.3;45.4;44;31.2;35.5;36.9
;;Cl-;mg/lt;1995;;31.2;;21.3;;17;;29.8;;32.6;;21.3
;;Cl-;mg/lt;1996;;;;16.3;;29.8;;31.2;;25.5;;20.6
;;Cl-;mg/lt;1997;;31.2;;18.4;;17;;18.4;;22.7;;26.9
;;Cl-;mg/lt;1998;;;;14.9;;18.4;;28.4;;28.4;;
;;Cl-;mg/lt;1999;;0.7;;0.28;;0.43;;0.4;;0.34;;0.26
;;Cl-;mg/lt;2000;;19.9;;19.1;;25.5;;28.4;;28.4;;24.1
;;Cl-;mg/lt;2001;;24.1;;28.4;;34.1;;26.2;;25.5;;
;;Cl-;mg/lt;2002;;29.8;;24.1;;31.2;;21.3;;9.9;;
;;Cl-;mg/lt;2003;;19.9;;11.3;;21.3;;24.1;;25.5;;25.5
;;Cl-;mg/lt;2004;;21.3;;22.7;;13.5;;22.7;;24.1;;17
;;Cl-;mg/lt;2005;;12.1;;13.5;;10.6;;12.1;21.3;;;22.7
;;Cl-;mg/lt;2006;;25.5;;15.6;;17;;19.9;;25.5;;
;;Cl-;mg/lt;2007;;25.5;;25.5;;19.1;;22.7;;;;
;;Cl-;mg/lt;2008;;25.5;;15.6;;24.8;;28.4;;28.4;;32.7
;;Cl-;mg/lt;2009;;24.14;;14.2;;16.33;;;;;;
;;Cl-;mg/lt;2010;;17.73;;14.89;;17.73;;22.69;;22.69;;19.85
;;Cl-;mg/lt;2011;;24.11;;49.63;;25.52;;;;;;
;;Cl-;mg/lt;2012;;8.93;;16.66;;;;25.67;;28.08;;31.47
;;Cl-;mg/lt;2013;;15.99;;7.21;;16.93;;12.09;;20.15;;
;CN-;;;;;;;;;;;;;;;
;;CN-;µg/L;1985;;;;0;;0;;0;;0;;0
;;CN-;µg/L;1986;;;0;0;;0;;0;;0;;0
;;CN-;µg/L;1987;;0;;0;;0;;;;0;;
;;CN-;µg/L;1988;;0;;0;;0;;0;;0;;0
;Co;;;;;;;;;;;;;;;
;;Co;µg/L;2013;;;;0.14;;0.33;;;;0.47;;
;CO2;;;;;;;;;;;;;;;
;;CO2;mg/L;1991;;10;;8;;7;;1.9;;;;18
;COD;;;;;;;;;;;;;;;
;;COD;mg/L;1997;;3.6;;5;;4;;6.5;;3.3;;5.4
;;COD;mg/L;1998;;;;3.2;;2.3;;6;;7.7;;
;;COD;mg/L;1999;;9.5;;3.2;;;;;;;;
;;COD;mg/L;2003;;8;;30;;10;;24;;1;;16
;;COD;mg/L;2004;;2;;5;;15;;14;;11;;17
;;COD;mg/L;2005;;;;8;;71;;15;24;;;50
;;COD;mg/L;2006;;14;;3;;156;;;;;;
;;COD;mg/L;2007;;0;;11;;22.1;;;;;;
;;COD;mg/L;2008;;;;7.91;;48.7;;8.7;;14.3;;14.1
;;COD;mg/L;2009;;15.8;;21.5;;13.9;;;;;;
;;COD;mg/L;2010;;8.6;;18.2;;17.4;;79.4;;9.7;;15.5
;;COD;mg/L;2011;;0;;10.6;;12.6;;;;;;
;;COD;mg/L;2012;;7.1;;33.4;;;;20.3;;18.7;;37.8
;;COD;mg/L;2013;;105;;36.6;;20.3;;3.6;;;;
;Col;;;;;;;;;;;;;;;
;;Col;Pt-Co;2010;;;;;;;;;;;;
;;Col;Pt-Co;2011;;;;;;10;;;;;;
;;Col;Pt-Co;2012;;61;;19;;;;13;;1;;30
;;Col;Pt-Co;2013;;20;;62;;34;;40;;17;;
;Cr;;;;;;;;;;;;;;;
;;Cr;µg/L;1985;;;;0;;0;;0;;0;;0
;;Cr;µg/L;1986;;;0;0;;0;;0;;0;;0
;;Cr;µg/L;1987;;;;0;;0;;;;0;;
;;Cr;µg/L;1988;;;;8;;;;;;;;
;;Cr;µg/L;2013;;6.92;;0.41;;1.32;;;;5.43;;
;Cu;;;;;;;;;;;;;;;
;;Cu;µg/L;1985;;;;1;;400;;1.12;;0;;1.6
;;Cu;µg/L;1986;;;0.9;1.8;;1400;;0.3;;200;;100
;;Cu;µg/L;1987;;;;0.35;;1000;;;;1870;;
;;Cu;µg/L;1988;;;;36;;;;150;;;;
;;Cu;µg/L;2013;;6.34;;5.96;;84.34;;;;150.28;;
;DO;;;;;;;;;;;;;;;
;;DO;mg O2/l;1985;;;;6.4;;8.6;;9.4;;8.8;;8.4
;;DO;mg O2/l;1986;;;9.7;7.4;;7.8;;8.3;;8;;10.6
;;DO;mg O2/l;1987;;10.6;;8;;6.8;;;;7.4;;11.8
;;DO;mg O2/l;1988;;11.5;;7;;7.2;;15.2;;7.9;;11.4
;;DO;mg O2/l;1989;;10.6;;7.6;;9;;8.6;;8.8;;12.8
;;DO;mg O2/l;1990;;10.2;;7;;8.5;;13.3;;7.6;;11
;;DO;mg O2/l;1991;;10.6;;9;;6.8;;10.2;;7.2;;14.3
;;DO;mg O2/l;1992;;11.6;;8.2;;7.2;;13.8;;9.2;;12.8
;;DO;mg O2/l;1993;;14.6;;7.7;;8.5;;11.4;;7.8;;12.3
;;DO;mg O2/l;1994;11.6;11.6;11.5;10.8;15.4;18.2;14;13;9;8;10.2;14
;;DO;mg O2/l;1995;;10.8;;10.8;;8.4;;8.3;;9;;11.8
;;DO;mg O2/l;1996;;;;9.87;;10.3;;8.1;;8.3;;10.2
;;DO;mg O2/l;1997;;11;;12;;7.7;;7.9;;8;;8.8
;;DO;mg O2/l;1998;;;;9.5;;7.2;;10.6;;9;;
;;DO;mg O2/l;1999;;11.8;;9;;8.9;;9.5;;9.5;;12.2
;;DO;mg O2/l;2000;;13;;8.8;;11.4;;10.2;;10.4;;13
;;DO;mg O2/l;2001;;11.8;;8.8;;11.2;;10;;9.6;;
;;DO;mg O2/l;2002;;10.8;;10.6;;11.3;;9.3;;9.1;;
;;DO;mg O2/l;2003;;14.8;;10;;10.9;;7.2;;10;;13.4
;;DO;mg O2/l;2004;;13.1;;8.4;;6.5;;7.1;;7;;7.8
;;DO;mg O2/l;2005;;5.6;;5.9;;3.4;;3.1;8.2;;;8.3
;;DO;mg O2/l;2006;;7.5;;6.6;;5.1;;4.6;;5;;
;;DO;mg O2/l;2007;;10;;8.8;;7.3;;8.2;;;;
;;DO;mg O2/l;2008;;9.4;;9.1;;12.3;;9.1;;9.3;;12.4
;;DO;mg O2/l;2009;;12;;9.7;;9.4;;;;;;
;;DO;mg O2/l;2010;;10.3;;9.8;;8.5;;8.4;;10.1;;12.9
;;DO;mg O2/l;2011;;11.2;;10.3;;10.7;;;;;;
;;DO;mg O2/l;2012;;11.7;;10.2;;;;9.6;;9.6;;12.3
;;DO;mg O2/l;2013;;10.8;;9.5;;8.3;;10.3;;8.8;;
;EC;;;;;;;;;;;;;;;
;;EC;mikromhos/cm;1985;;;;569;;840;;915;;677;;759
;;EC;mikromhos/cm;1986;;;416;468;;457;;622;;592;;724
;;EC;mikromhos/cm;1987;;595;;544;;805;;;;605;;647
;;EC;mikromhos/cm;1988;;873;;448;;635;;897;;785;;828
;;EC;mikromhos/cm;1989;;873;;699;;773;;695;;714;;730
;;EC;mikromhos/cm;1990;;737;;598;;758;;1196;;845;;677
;;EC;mikromhos/cm;1991;;895;;457;;415;;698;;582;;508
;;EC;mikromhos/cm;1992;;825;;427;;422;;672;;632;;704
;;EC;mikromhos/cm;1993;;708;;665;;650;;830;;790;;773
;;EC;mikromhos/cm;1994;741;741;758;617;698;758;672;685;915;607;699;963
;;EC;mikromhos/cm;1995;;718;;574;;419;;635;;718;;790
;;EC;mikromhos/cm;1996;;;;443;;688;;698;;604;;423
;;EC;mikromhos/cm;1997;;657;;455;;520;;517;;585;;655
;;EC;mikromhos/cm;1998;;;;263;;488;;607;;550;;
;;EC;mikromhos/cm;1999;;677;;436;;598;;598;;531;;442
;;EC;mikromhos/cm;2000;;387;;404;;612;;690;;567;;730
;;EC;mikromhos/cm;2001;;732;;827;;738;;487;;773;;
;;EC;mikromhos/cm;2002;;770;;692;;718;;509;;485;;
;;EC;mikromhos/cm;2003;;518;;365;;530;;584;;733;;673
;;EC;mikromhos/cm;2004;;593;;559;;351;;560;;688;;586
;;EC;mikromhos/cm;2005;;409;;461;;321;;385;646;;;578
;;EC;mikromhos/cm;2006;;553;;443;;363;;402;;645;;
;;EC;mikromhos/cm;2007;;538;;547;;410;;547;;;;
;;EC;mikromhos/cm;2008;;588;;395;;509;;591;;738;;662
;;EC;mikromhos/cm;2009;;630;;390;;443;;;;;;
;;EC;mikromhos/cm;2010;;399;;368;;456;;539;;536;;478
;;EC;mikromhos/cm;2011;;595;;631;;555;;;;;;
;;EC;mikromhos/cm;2012;;551;;413;;;;578;;637;;610
;;EC;mikromhos/cm;2013;;559;;328;;553;;499;;648;;
;Fe;;;;;;;;;;;;;;;
;;Fe;µg/L;1985;;;;1000;;600;;400;;200;;700
;;Fe;µg/L;1986;;;1700;1300;;500;;600;;900;;2000
;;Fe;µg/L;1987;;;;1000;;1000;;;;1080;;
;;Fe;µg/L;1988;;;;1700;;;;720;;;;
;;Fe;µg/L;2013;;853.5;;340.5;;1836.1;;;;928.6;;
;Hg;;;;;;;;;;;;;;;
;;Hg;µg/L;1987;;;;;;1;;;;1;;
;;Hg;µg/L;2013;;;;;;;;;;;;
;K+;;;;;;;;;;;;;;;
;;K+;mg/L;1985;;;;6.63;;9.75;;8.19;;10.53;;8.58
;;K+;mg/L;1986;;;5.07;5.85;;5.46;;7.8;;7.41;;7.8
;;K+;mg/L;1987;;5.85;;3.12;;7.41;;;;7.8;;6.24
;;K+;mg/L;1988;;7.41;;3.51;;6.24;;6.63;;4.29;;4.88
;;K+;mg/L;1989;;7.8;;6.24;;7.8;;7.02;;4.29;;3.9
;;K+;mg/L;1990;;5.85;;4.49;;8.19;;9.75;;7.02;;4.29
;;K+;mg/L;1991;;4.88;;3.9;;2.73;;5.27;;6.63;;6.63
;;K+;mg/L;1992;;7.41;;3.9;;3.51;;4.68;;5.07;;4.29
;;K+;mg/L;1993;;4.68;;6.24;;7.02;;9.36;;8.97;;7.02
;;K+;mg/L;1994;4.68;5.85;4.68;5.07;5.07;6.24;7.02;7.41;9.36;4.68;7.02;7.41
;;K+;mg/L;1995;;4.68;;2.34;;2.34;;4.68;;5.07;;5.07
;;K+;mg/L;1996;;;;3.12;;3.51;;4.29;;3.9;;4.29
;;K+;mg/L;1997;;4.68;;4.29;;4.68;;7.02;;7.02;;5.07
;;K+;mg/L;1998;;;;5.07;;5.07;;8.58;;6.63;;
;;K+;mg/L;1999;;4.68;;3.9;;6.63;;9.36;;10.3;;5.85
;;K+;mg/L;2000;;33.15;;7.41;;8.58;;8.58;;8.58;;5.46
;;K+;mg/L;2001;;7.41;;10.53;;11.7;;14.43;;6.63;;
;;K+;mg/L;2002;;7.02;;4.29;;9.75;;5.85;;6.24;;
;;K+;mg/L;2003;;1.17;;1.17;;3.12;;1.56;;1.95;;5.85
;;K+;mg/L;2004;;6.63;;5.46;;4.29;;8.19;;8.97;;7.8
;;K+;mg/L;2005;;4.68;;1.84;;3.12;;4.68;4.68;;;6.24
;;K+;mg/L;2006;;4.68;;4.29;;3.51;;5.46;;4.68;;
;;K+;mg/L;2007;;4.68;;4.68;;4.68;;5.07;;;;
;;K+;mg/L;2008;;3.9;;1.61;;4.29;;1.56;;4.68;;2.34
;;K+;mg/L;2009;;2.73;;1.56;;2.34;;;;;;
;;K+;mg/L;2010;;1.17;;1.95;;2.73;;2.34;;1.95;;1.95
;;K+;mg/L;2011;;2.73;;3.51;;2.73;;;;;;
;;K+;mg/L;2012;;3.12;;2.73;;;;3.12;;3.51;;4.29
;;K+;mg/L;2013;;4.06;;3.03;;3.8;;3.25;;4.6;;
;M.Oil;;;;;;;;;;;;;;;
;;M.Oil;mg/L;1985;;;;35.8;;94.4;;94.6;;68.6;;10.8
;;M.Oil;mg/L;1986;;;80.6;14.6;;15.8;;6.6;;53.2;;52.2
;;M.Oil;mg/L;1987;;12.8;;36;;28.2;;;;66.4;;9.8
;;M.Oil;mg/L;1988;;17;;21.8;;4;;4.6;;4.6;;6.6
;;M.Oil;mg/L;1989;;9.4;;6.8;;6;;11.2;;2.6;;32
;;M.Oil;mg/L;1990;;11.2;;15.2;;8.8;;13.2;;16.2;;16.4
;;M.Oil;mg/L;1991;;8.6;;9;;9.8;;8.2;;9.4;;10.6
;;M.Oil;mg/L;1992;;12.2;;10.2;;2.2;;11.8;;14.6;;10.6
;;M.Oil;mg/L;1993;;6;;9.8;;7.4;;10.8;;10.4;;5.4
;;M.Oil;mg/L;1994;6;8.2;5.4;4.2;8.6;6.6;8.4;6.4;5.2;4.4;4;5.8
;;M.Oil;mg/L;1995;;6.2;;10.4;;7.8;;7.2;;9.6;;12
;;M.Oil;mg/L;1996;;;;6;;8.6;;5.2;;6;;4.4
;;M.Oil;mg/L;1997;;8;;4.2;;2.8;;6.4;;;;
;M-Al;;;;;;;;;;;;;;;
;;M-Al;mg/L;1985;;;;165;;150;;175;;225;;195
;;M-Al;mg/L;1986;;;145;160;;135;;200;;310;;170
;;M-Al;mg/L;1987;;140;;150;;195;;;;175;;140
;;M-Al;mg/L;1988;;190;;100;;125;;180;;180;;170
;;M-Al;mg/L;1989;;200;;150;;160;;180;;155;;135
;;M-Al;mg/L;1990;;155;;155;;175;;240;;200;;120
;;M-Al;mg/L;1991;;165;;105;;110;;145;;140;;140
;;M-Al;mg/L;1992;;200;;125;;130;;170;;180;;150
;;M-Al;mg/L;1993;;160;;165;;210;;190;;215;;200
;;M-Al;mg/L;1994;185;170;190;190;215;210;200;140;245;170;170;190
;;M-Al;mg/L;1995;;165;;130;;125;;200;;185;;130
;;M-Al;mg/L;1996;;;;100;;205;;190;;170;;140
;;M-Al;mg/L;1997;;180;;130;;175;;165;;165;;170
;;M-Al;mg/L;1998;;;;135;;150;;175;;180;;
;;M-Al;mg/L;1999;;140;;140;;185;;185;;170;;145
;;M-Al;mg/L;2000;;140;;135;;180;;200;;180;;160
;;M-Al;mg/L;2001;;170;;180;;220;;115;;175;;
;;M-Al;mg/L;2002;;180;;155;;200;;165;;125;;
;;M-Al;mg/L;2003;;120;;85;;175;;140;;155;;170
;;M-Al;mg/L;2004;;135;;135;;125;;175;;160;;135
;;M-Al;mg/L;2005;;100;;125;;105;;130;155;;;135
;;M-Al;mg/L;2006;;140;;105;;110;;145;;165;;
;;M-Al;mg/L;2007;;155;;175;;135;;125;;;;
;;M-Al;mg/L;2008;;165;;110;;158.6;;213.5;;219.6;;201.3
;;M-Al;mg/L;2009;;164.7;;140.3;;170.8;;;;;;
;;M-Al;mg/L;2010;;128.1;;134.2;;164.7;;189.1;;201.3;;158.6
;;M-Al;mg/L;2011;;183;;311.1;;189.1;;;;;;
;;M-Al;mg/L;2012;;167.8;;146.4;;;;223.9;;247.7;;177.5
;;M-Al;mg/L;2013;;170.2;;159.2;;237.9;;195.8;;178.1;;
;Mg++;;;;;;;;;;;;;;;
;;Mg++;mg/L;1985;;;;14.6;;23.1;;36.5;;42.6;;24.3
;;Mg++;mg/L;1986;;;17;19.5;;30.4;;28;;30.4;;18.2
;;Mg++;mg/L;1987;;17;;15.8;;29.2;;;;17;;20.7
;;Mg++;mg/L;1988;;25.5;;8.5;;3.6;;27.6;;21.9;;20.7
;;Mg++;mg/L;1989;;23.1;;21.9;;19.5;;18.2;;9.7;;4.9
;;Mg++;mg/L;1990;;28;;20.7;;17;;48;;24.3;;15
;;Mg++;mg/L;1991;;20.7;;12.2;;12.2;;23.1;;19.5;;12.2
;;Mg++;mg/L;1992;;18.2;;4.9;;12.2;;21.9;;17;;7.3
;;Mg++;mg/L;1993;;21.9;;15.8;;21;;23.1;;17;;20.7
;;Mg++;mg/L;1994;21.9;21.9;19.5;9.7;8.5;25.5;25.5;20.7;20.7;19.5;18.2;31.6
;;Mg++;mg/L;1995;;24.3;;14.6;;7.3;;20.7;;17;;10.9
;;Mg++;mg/L;1996;;;;10.9;;17;;19.5;;20.7;;10.9
;;Mg++;mg/L;1997;;19.5;;14.6;;18.2;;14.6;;9.7;;13.4
;;Mg++;mg/L;1998;;;;12.2;;13.4;;17;;20.7;;
;;Mg++;mg/L;1999;;13.4;;9.7;;14.6;;25.5;;20.7;;13.4
;;Mg++;mg/L;2000;;12.2;;10.9;;15.8;;23.1;;20.7;;14.6
;;Mg++;mg/L;2001;;17;;19.5;;24.3;;19.5;;21.9;;
;;Mg++;mg/L;2002;;19.5;;19.5;;19.5;;12.2;;12.2;;
;;Mg++;mg/L;2003;;9.7;;8.5;;18.2;;21.9;;19.5;;19.5
;;Mg++;mg/L;2004;;15.8;;14.6;;9.7;;15.8;;19.5;;13.4
;;Mg++;mg/L;2005;;13.4;;13.4;;12.2;;12.2;20.7;;;12.2
;;Mg++;mg/L;2006;;14.6;;8.5;;9.7;;14.6;;14.6;;
;;Mg++;mg/L;2007;;17;;19.5;;15.8;;13.4;;;;
;;Mg++;mg/L;2008;;14.6;;13.4;;19.5;;28;;18.24;;17.02
;;Mg++;mg/L;2009;;13.38;;13.38;;17.02;;;;;;
;;Mg++;mg/L;2010;;7.3;;9.7;;10.9;;23.1;;25.5;;21.9
;;Mg++;mg/L;2011;;0;;18.2;;14.6;;;;;;
;;Mg++;mg/L;2012;;17.4;;7.4;;;;12.4;;22.3;;20.2
;;Mg++;mg/L;2013;;15.5;;7.9;;15.1;;13.6;;18.4;;
;Mn;;;;;;;;;;;;;;;
;;Mn;µg/L;1985;;;;0;;0;;0;;0;;0
;;Mn;µg/L;1986;;;0;0;;0;;0;;0;;0
;;Mn;µg/L;1987;;;;0;;0;;;;0;;
;;Mn;µg/L;1988;;;;0;;;;0;;;;
;;Mn;µg/L;2013;;110;;39;;59;;;;73;;
;Na+;;;;;;;;;;;;;;;
;;Na+;mg/L;1985;;;;29.9;;52.9;;19.55;;48.3;;48.3
;;Na+;mg/L;1986;;;25.3;26.45;;18.4;;19.55;;37.95;;27.6
;;Na+;mg/L;1987;;24.15;;13.8;;26.45;;;;57.04;;46
;;Na+;mg/L;1988;;70.38;;24.15;;33.12;;46;;30.82;;39.59
;;Na+;mg/L;1989;;54.74;;44.16;;54.74;;48.3;;21.6;;20.24
;;Na+;mg/L;1990;;57.5;;30.82;;52.9;;79.12;;40.25;;20.24
;;Na+;mg/L;1991;;11.5;;21.62;;12.88;;30.82;;36.34;;35.65
;;Na+;mg/L;1992;;39.56;;16.1;;10.58;;19.78;;28.98;;19.78
;;Na+;mg/L;1993;;19.78;;31.28;;50.6;;60.72;;33.58;;32.2
;;Na+;mg/L;1994;21.9;25.76;20.7;20.93;21.85;23;34.04;34.04;52.44;24.84;32.2;40.02
;;Na+;mg/L;1995;;32.2;;17.48;;13.8;;30.36;;28.52;;23
;;Na+;mg/L;1996;;;;16.1;;15.18;;25.3;;19.78;;19.78
;;Na+;mg/L;1997;;33.58;;20.7;;23;;31.05;;31.05;;31.05
;;Na+;mg/L;1998;;;;28.75;;26.45;;39.1;;40.25;;
;;Na+;mg/L;1999;;23;;26.45;;32.2;;32.2;;46;;26.45
;;Na+;mg/L;2000;;28.75;;40.25;;46;;34.5;;46;;34.5
;;Na+;mg/L;2001;;46;;28.75;;34.5;;42.55;;27.6;;
;;Na+;mg/L;2002;;39.1;;34.5;;43.7;;32.2;;33.35;;
;;Na+;mg/L;2003;;13.8;;9.2;;19.55;;31.05;;21.85;;31.05
;;Na+;mg/L;2004;;23;;27.6;;23;;33.35;;23;;23
;;Na+;mg/L;2005;;18.4;;31.2;;12.65;;18.4;19.55;;;25.3
;;Na+;mg/L;2006;;25.3;;11.5;;25.3;;23;;25.3;;
;;Na+;mg/L;2007;;19.55;;25.3;;14.95;;46;;;;
;;Na+;mg/L;2008;;32.2;;17.25;;25.3;;21.85;;39.1;;23
;;Na+;mg/L;2009;;29.9;;14.95;;14.95;;;;;;
;;Na+;mg/L;2010;;16.1;;19.55;;21.85;;27.6;;28.75;;25.3
;;Na+;mg/L;2011;;33.35;;34.5;;5.75;;;;;;
;;Na+;mg/L;2012;;18.4;;16.1;;;;28.75;;23;;28.75
;;Na+;mg/L;2013;;29.11;;14.11;;29.62;;25.41;;37.82;;
;NH4-N;;;;;;;;;;;;;;;
;;NH4-N;mg/L;1985;;;;2;;4;;1.18;;9.7;;9.2
;;NH4-N;mg/L;1986;;;1.76;2.2;;0.64;;0.8;;2;;9.3
;;NH4-N;mg/L;1987;;3.32;;0.62;;0.76;;;;1.96;;4
;;NH4-N;mg/L;1988;;8.8;;0.28;;2;;1.22;;0.57;;3.32
;;NH4-N;mg/L;1989;;4.4;;1.46;;0.65;;0.99;;4;;8
;;NH4-N;mg/L;1990;;4.68;;1.3;;1.07;;2.6;;1.1;;2.68
;;NH4-N;mg/L;1991;;3.8;;0.7;;0.32;;0.66;;1.04;;1.07
;;NH4-N;mg/L;1992;;11.7;;0.5;;0.4;;0.76;;0.18;;0.4
;;NH4-N;mg/L;1993;;2.4;;0.34;;0.6;;0.53;;0.6;;1.54
;;NH4-N;mg/L;1994;0.9;1.65;1.44;1.2;0.86;1.2;0.64;1.1;0.74;0.66;1.04;0.44
;;NH4-N;mg/L;1995;;1.24;;0.34;;0.18;;0;;0.64;;0.4
;;NH4-N;mg/L;1996;;;;0.76;;0.86;;0.26;;0;;0.32
;;NH4-N;mg/L;1997;;1.46;;0.05;;0;;0;;0.26;;0.32
;;NH4-N;mg/L;1998;;;;0.23;;0.28;;0.28;;0;;
;;NH4-N;mg/L;2000;;0.28;;0.26;;0.32;;0.32;;0.34;;0.26
;;NH4-N;mg/L;2001;;0.32;;0.26;;0.28;;0.34;;0.34;;
;;NH4-N;mg/L;2002;;0.37;;0.26;;0.29;;0.23;;0.18;;
;;NH4-N;mg/L;2003;;0.2;;0.38;;0.32;;0.23;;0;;0.53
;;NH4-N;mg/L;2004;;0.4;;0.12;;0.7;;0.15;;0.28;;0.18
;;NH4-N;mg/L;2005;;0.74;;0.26;;0.28;;0.26;0.12;;;0.23
;;NH4-N;mg/L;2006;;0.38;;0.26;;0.32;;0.2;;0.08;;
